timestamp,range_mm_raw
2026-05-24T16:41:23.193,50.0
2026-05-24T16:41:23.297,50.0
2026-05-24T16:41:23.400,50.0
2026-05-24T16:41:23.504,50.0
2026-05-24T16:41:23.608,50.0
2026-05-24T16:41:23.712,50.0
2026-05-24T16:41:23.815,50.0
2026-05-24T16:41:23.919,50.0
2026-05-24T16:41:24.022,50.0
2026-05-24T16:41:24.126,50.0
2026-05-24T16:41:24.229,50.0
2026-05-24T16:41:24.352,50.0
2026-05-24T16:41:24.456,50.0
2026-05-24T16:41:24.559,50.0
2026-05-24T16:41:24.663,50.0
2026-05-24T16:41:24.766,50.0
2026-05-24T16:41:24.870,50.0
2026-05-24T16:41:24.973,50.0
2026-05-24T16:41:25.077,50.0
2026-05-24T16:41:25.181,50.0
2026-05-24T16:41:25.284,50.0
2026-05-24T16:41:25.388,50.0
2026-05-24T16:41:25.491,50.0
2026-05-24T16:41:25.595,50.0
2026-05-24T16:41:25.699,50.0
2026-05-24T16:41:25.803,50.0
2026-05-24T16:41:25.923,50.0
2026-05-24T16:41:26.026,50.0
2026-05-24T16:41:26.129,50.0
2026-05-24T16:41:26.233,50.0
2026-05-24T16:41:26.336,50.0
2026-05-24T16:41:26.441,50.0
2026-05-24T16:41:26.544,50.0
2026-05-24T16:41:26.648,50.0
2026-05-24T16:41:26.751,50.0
2026-05-24T16:41:26.855,50.0
2026-05-24T16:41:26.959,50.0
2026-05-24T16:41:27.063,50.0
2026-05-24T16:41:27.167,50.0
2026-05-24T16:41:27.270,50.0
2026-05-24T16:41:27.374,50.0
2026-05-24T16:41:27.494,50.0
2026-05-24T16:41:27.598,50.0
2026-05-24T16:41:27.701,50.0
2026-05-24T16:41:27.805,50.0
2026-05-24T16:41:27.909,50.0
2026-05-24T16:41:28.012,50.0
2026-05-24T16:41:28.116,50.0
2026-05-24T16:41:28.219,50.0
2026-05-24T16:41:28.323,50.0
2026-05-24T16:41:28.426,50.0
2026-05-24T16:41:28.530,50.0
2026-05-24T16:41:28.633,50.0
2026-05-24T16:41:28.737,50.0
2026-05-24T16:41:28.841,50.0
2026-05-24T16:41:28.944,50.0
2026-05-24T16:41:29.065,50.0
2026-05-24T16:41:29.168,50.0
2026-05-24T16:41:29.273,50.0
2026-05-24T16:41:29.376,50.0
2026-05-24T16:41:29.480,50.0
2026-05-24T16:41:29.583,50.0
2026-05-24T16:41:29.687,50.0
2026-05-24T16:41:29.790,50.0
2026-05-24T16:41:29.894,50.0
2026-05-24T16:41:29.997,50.0
2026-05-24T16:41:30.101,50.0
2026-05-24T16:41:30.205,50.0
2026-05-24T16:41:30.308,50.0
2026-05-24T16:41:30.412,50.0
2026-05-24T16:41:30.516,50.0
2026-05-24T16:41:30.635,50.0
2026-05-24T16:41:30.738,50.0
2026-05-24T16:41:30.842,50.0
2026-05-24T16:41:30.946,50.0
2026-05-24T16:41:31.050,50.0
2026-05-24T16:41:31.153,50.0
2026-05-24T16:41:31.257,50.0
2026-05-24T16:41:31.360,50.0
2026-05-24T16:41:31.464,50.0
2026-05-24T16:41:31.568,50.0
2026-05-24T16:41:31.671,50.0
2026-05-24T16:41:31.775,50.0
2026-05-24T16:41:31.878,50.0
2026-05-24T16:41:31.982,50.0
2026-05-24T16:41:32.085,50.0
2026-05-24T16:41:32.205,50.0
2026-05-24T16:41:32.309,50.0
2026-05-24T16:41:32.412,50.0
2026-05-24T16:41:32.516,50.0
2026-05-24T16:41:32.619,50.0
